installment_id,plan_id,installment_no,due_date,amount_due_usd,paid_date,paid_amount_usd,late_fee_usd,status
1,1,1,2026-05-15,23.12,,,7.00,missed
2,1,2,2026-05-29,23.12,,,7.00,missed
3,1,3,2026-06-12,23.12,,,7.00,late
4,1,4,2026-06-26,23.12,,,7.00,late
5,2,1,2025-03-09,780.52,2025-03-10,780.52,0.00,paid
6,2,2,2025-04-08,780.52,2025-04-06,780.52,0.00,paid
7,2,3,2025-05-08,780.52,2025-05-05,780.52,0.00,paid
8,3,1,2026-07-08,90.73,,,0.00,scheduled
9,3,2,2026-08-07,90.73,,,0.00,scheduled
10,3,3,2026-09-06,90.73,,,0.00,scheduled
11,3,4,2026-10-06,90.73,,,0.00,scheduled
12,3,5,2026-11-05,90.73,,,0.00,scheduled
13,3,6,2026-12-05,90.73,,,0.00,scheduled
14,4,1,2026-05-12,337.50,2026-05-26,337.50,7.00,late
15,4,2,2026-05-26,337.50,2026-05-23,337.50,0.00,paid
16,4,3,2026-06-09,337.50,2026-06-07,337.50,0.00,paid
17,4,4,2026-06-23,337.50,2026-06-26,337.50,0.00,paid
18,5,1,2026-02-09,40.68,,,7.00,written_off
19,5,2,2026-02-23,40.68,,,7.00,written_off
20,5,3,2026-03-09,40.68,,,7.00,written_off
21,5,4,2026-03-23,40.68,,,7.00,written_off
22,6,1,2026-06-17,56.44,,,7.00,late
23,6,2,2026-07-01,56.44,,,7.00,late
24,6,3,2026-07-15,56.44,,,0.00,scheduled
25,6,4,2026-07-29,56.44,,,0.00,scheduled
26,7,1,2026-07-20,24.27,,,0.00,scheduled
27,7,2,2026-08-03,24.27,,,0.00,scheduled
28,7,3,2026-08-17,24.27,,,0.00,scheduled
29,7,4,2026-08-31,24.27,,,0.00,scheduled
30,8,1,2026-04-18,20.17,2026-04-17,20.17,0.00,paid
31,8,2,2026-05-02,20.17,2026-05-01,20.17,0.00,paid
32,8,3,2026-05-16,20.17,2026-05-14,20.17,0.00,paid
33,8,4,2026-05-30,20.17,2026-05-27,20.17,0.00,paid
34,9,1,2026-05-07,168.08,2026-05-19,168.08,7.00,late
35,9,2,2026-05-21,168.08,2026-05-19,168.08,0.00,paid
36,9,3,2026-06-04,168.08,2026-06-04,168.08,0.00,paid
37,9,4,2026-06-18,168.08,2026-06-19,168.08,0.00,paid
38,10,1,2026-05-14,67.06,2026-05-14,67.06,0.00,paid
39,10,2,2026-06-13,67.06,2026-06-28,67.06,7.00,late
40,10,3,2026-07-13,67.06,,,0.00,scheduled
41,10,4,2026-08-12,67.06,,,0.00,scheduled
42,10,5,2026-09-11,67.06,,,0.00,scheduled
43,10,6,2026-10-11,67.06,,,0.00,scheduled
