plan_id,customer_id,merchant_id,product_type,num_installments,order_amount_usd,total_repayable_usd,apr_bps,created_at,status
1,2,40,pay_in_4,4,92.48,92.48,0,2026-04-15,defaulted
2,2,26,pay_in_3,3,2341.57,2341.57,0,2025-02-07,paid_off
3,2,11,pay_monthly_6,6,497.55,544.39,1909,2026-06-08,active
4,3,30,pay_in_4,4,1350.00,1350.00,0,2026-04-12,active
5,3,45,pay_in_4,4,162.71,162.71,0,2026-01-10,defaulted
6,4,8,pay_in_4,4,225.77,225.77,0,2026-05-18,delinquent
7,4,60,pay_in_4,4,97.09,97.09,0,2026-06-20,active
8,4,60,pay_in_4,4,80.68,80.68,0,2026-03-19,paid_off
9,4,4,pay_in_4,4,672.31,672.31,0,2026-04-07,active
10,5,7,pay_monthly_6,6,357.04,402.38,2575,2026-04-14,active
11,6,26,pay_in_3,3,1364.00,1364.00,0,2026-01-20,active
12,6,2,pay_in_3,3,225.96,225.96,0,2026-02-21,defaulted
13,6,37,pay_in_4,4,159.11,159.11,0,2026-02-24,active
14,7,30,pay_monthly_12,12,369.09,449.18,2200,2026-04-14,active
15,7,21,pay_in_3,3,1011.78,1011.78,0,2025-09-13,paid_off
16,7,45,pay_monthly_6,6,259.18,286.78,2159,2025-07-05,paid_off
17,7,13,pay_in_4,4,626.78,626.78,0,2025-10-28,active
18,8,50,pay_monthly_6,6,234.22,263.08,2499,2026-04-07,active
19,8,60,pay_in_3,3,97.88,97.88,0,2026-05-16,defaulted
20,8,12,pay_in_4,4,1350.00,1350.00,0,2025-08-08,active
21,9,38,pay_in_3,3,225.30,225.30,0,2025-10-05,active
22,9,57,pay_in_4,4,353.03,353.03,0,2026-01-07,active
23,9,40,pay_monthly_6,6,439.99,491.39,2369,2026-01-23,active
24,11,7,pay_in_4,4,233.27,233.27,0,2026-05-09,defaulted
25,11,7,pay_in_4,4,310.91,310.91,0,2026-05-19,defaulted
26,11,7,pay_in_4,4,359.27,359.27,0,2026-06-01,defaulted
27,12,15,pay_in_4,4,373.67,373.67,0,2026-05-06,defaulted
28,12,7,pay_in_3,3,267.32,267.32,0,2026-06-08,active
29,12,7,pay_monthly_6,6,533.26,600.37,2552,2026-05-25,defaulted
30,12,7,pay_monthly_6,6,196.91,214.17,1777,2026-05-15,defaulted
31,12,7,pay_in_4,4,406.76,406.76,0,2026-05-03,defaulted
32,13,7,pay_monthly_12,12,201.07,267.92,3371,2026-06-09,active
33,13,7,pay_in_4,4,375.41,375.41,0,2026-05-04,defaulted
34,13,48,pay_monthly_6,6,278.42,305.83,1996,2026-06-17,active
35,13,46,pay_in_4,4,445.16,445.16,0,2026-06-14,active
36,13,7,pay_in_4,4,393.75,393.75,0,2026-06-18,active
37,13,7,pay_in_3,3,252.73,252.73,0,2026-05-17,defaulted
38,14,7,pay_in_4,4,502.03,502.03,0,2026-05-05,defaulted
39,14,7,pay_in_3,3,1002.12,1002.12,0,2026-06-11,active
40,14,7,pay_monthly_6,6,79.27,86.44,1833,2026-06-16,active
41,14,7,pay_in_4,4,374.23,374.23,0,2026-05-21,defaulted
42,14,5,pay_in_3,3,294.16,294.16,0,2026-06-10,active
43,15,7,pay_monthly_12,12,139.16,170.56,2288,2026-05-24,defaulted
44,15,7,pay_in_4,4,493.28,493.28,0,2026-05-12,defaulted
45,15,7,pay_in_3,3,294.06,294.06,0,2026-05-16,defaulted
46,15,7,pay_monthly_12,12,498.38,644.42,2971,2026-05-12,defaulted
47,16,59,pay_in_4,4,116.59,116.59,0,2026-01-01,paid_off
